物料清单数据导出
导出时间: 2026-06-08T14:28:19.966529
总记录数: 72
================================================================================

record_id	物料名称	物料代号	生产商	物料级别	文件名称	质量标准	工艺名称
recvfwvZyNBvV9	[{'text': 'N,N-二异丙基乙胺', 'type': 'text'}]	[{'text': 'L011', 'type': 'text'}]	[{'text': '苏州昊帆生物股份有限公司', 'type': 'text'}]	[{'text': '工业级', 'type': 'text'}]	[{'text': 'DIEA(N,N-二异丙基乙胺)(工业级)质量标准', 'type': 'text'}]	[{'text': 'SPC-RM-L011', 'type': 'text'}]	['合成']
recvfwvZyNR5lx	[{'text': 'N-羟基丁二酰亚胺', 'type': 'text'}]	[{'text': 'S025', 'type': 'text'}]	[{'text': '苏州昊帆生物股份有限公司', 'type': 'text'}]	[{'text': '工业级', 'type': 'text'}]	[{'text': 'HOSU(N-羟基丁二酰亚胺)(工业级)质量标准', 'type': 'text'}]	[{'text': 'SPC-RM-S025', 'type': 'text'}]	['合成']
recvfwvZyNvcTz	[{'text': '二环己基碳二亚胺', 'type': 'text'}]	[{'text': 'S026', 'type': 'text'}]	[{'text': '苏州昊帆生物股份有限公司', 'type': 'text'}]	[{'text': '工业级', 'type': 'text'}]	[{'text': 'DCC(二环己基碳二亚胺)(工业级)质量标准', 'type': 'text'}]	[{'text': 'SPC-RM-S026', 'type': 'text'}]	['合成']
recvfwvZyNGdfc	[{'text': '二氯甲烷', 'type': 'text'}]	[{'text': 'L013', 'type': 'text'}]	[{'text': '西陇科学股份有限公司', 'type': 'text'}]	[{'text': 'AR级', 'type': 'text'}]	[{'text': '二氯甲烷(AR级)质量标准', 'type': 'text'}]	[{'text': 'SPC-RM-L013', 'type': 'text'}]	['合成']
recvfwvZyNSn6M	[{'text': '甲基叔丁基醚', 'type': 'text'}]	[{'text': 'L016', 'type': 'text'}]	[{'text': '西陇科学股份有限公司', 'type': 'text'}]	[{'text': 'AR级', 'type': 'text'}]	[{'text': '甲基叔丁基醚(AR级)质量标准', 'type': 'text'}]	[{'text': 'SPC-RM-L016', 'type': 'text'}]	['合成']
recvfwvZyNQsJv	[{'text': '三氟乙酸', 'type': 'text'}]	[{'text': 'L017', 'type': 'text'}]	[{'text': '上海阿拉丁生化科技股份有限公司', 'type': 'text'}]	[{'text': 'AR级', 'type': 'text'}]	[{'text': '三氟乙酸(TFA)(AR级)质量标准', 'type': 'text'}]	[{'text': 'SPC-RM-L017', 'type': 'text'}]	['合成']
recvfwvZyNtbsl	[{'text': '三异丙基硅烷', 'type': 'text'}]	[{'text': 'L018', 'type': 'text'}]	[{'text': '上海阿拉丁生化科技股份有限公司', 'type': 'text'}]	[{'text': 'AR级', 'type': 'text'}]	[{'text': '三异丙基硅烷(AR级)质量标准', 'type': 'text'}]	[{'text': 'SPC-RM-L018', 'type': 'text'}]	['合成']
recvfwvZyNeSWG	[{'text': '四氢呋喃', 'type': 'text'}]	[{'text': 'L019', 'type': 'text'}]	[{'text': '西陇科学股份有限公司', 'type': 'text'}]	[{'text': 'AR级', 'type': 'text'}]	[{'text': '四氢呋喃(AR级)质量标准', 'type': 'text'}]	[{'text': 'SPC-RM-L019', 'type': 'text'}]	['合成']
recvfwvZyNz4bo	[{'text': 'N,N-二甲基甲酰胺', 'type': 'text'}]	[{'text': 'L020', 'type': 'text'}]	[{'text': '西陇科学股份有限公司', 'type': 'text'}]	[{'text': 'AR级', 'type': 'text'}]	[{'text': 'N,N-二甲基甲酰胺(AR级)质量标准', 'type': 'text'}]	[{'text': 'SPC-RM-L020', 'type': 'text'}]	['合成']
recvfwvZyNjG6t	[{'text': '乙酸（冰醋酸）', 'type': 'text'}]	[{'text': 'L015', 'type': 'text'}]	[{'text': '西陇科学股份有限公司', 'type': 'text'}]	[{'text': 'AR级', 'type': 'text'}]	[{'text': '乙酸（冰醋酸）(AR级)质量标准', 'type': 'text'}]	[{'text': 'SPC-RM-L015', 'type': 'text'}]	['合成']
recvfwwgGxhMH2	[{'text': '乙腈', 'type': 'text'}]	[{'text': 'L021', 'type': 'text'}]	[{'text': '上海星可高纯溶剂有限公司', 'type': 'text'}]	[{'text': '制备级', 'type': 'text'}]	[{'text': '乙腈(制备级)质量标准', 'type': 'text'}]	[{'text': 'SPC-RM-L021', 'type': 'text'}]	['纯化']
recvfwwgGxMNMR	[{'text': '磷酸二氢铵', 'type': 'text'}]	[{'text': 'S004', 'type': 'text'}]	[{'text': '西陇科学股份有限公司', 'type': 'text'}]	[{'text': 'AR级', 'type': 'text'}]	[{'text': '磷酸二氢铵(AR级)质量标准', 'type': 'text'}]	[{'text': 'SPC-RM-S004', 'type': 'text'}]	['纯化']
recvfwwgGxYwVV	[{'text': '甲酸铵', 'type': 'text'}]	[{'text': 'S028a', 'type': 'text'}]	[{'text': '上海麦克林生化科技股份有限公司', 'type': 'text'}]	[{'text': 'AR级', 'type': 'text'}]	[{'text': '甲酸铵质量标准', 'type': 'text'}]	[{'text': 'SPC-RM-S028', 'type': 'text'}]	['纯化']
recvfwwgGxmUL5	[{'text': '磷酸', 'type': 'text'}]	[{'text': 'L023', 'type': 'text'}]	[{'text': '西陇科学股份有限公司', 'type': 'text'}]	[{'text': 'AR级', 'type': 'text'}]	[{'text': '磷酸(AR级)质量标准', 'type': 'text'}]	[{'text': 'SPC-RM-L023', 'type': 'text'}]	['纯化']
recvfwwgGxReH8	[{'text': '异丙醇', 'type': 'text'}]	[{'text': 'L003', 'type': 'text'}]	[{'text': '上海星可高纯溶剂有限公司', 'type': 'text'}]	[{'text': '制备级', 'type': 'text'}]	[{'text': '异丙醇(制备级)质量标准', 'type': 'text'}]	[{'text': 'SPC-RM-L003', 'type': 'text'}]	['纯化']
recvfwwgGxE5dz	[{'text': '注射用水', 'type': 'text'}]	[{'text': 'L027', 'type': 'text'}]	[{'text': '丽珠集团新北江制药股份有限公司', 'type': 'text'}]	[{'text': 'N/A', 'type': 'text'}]	[{'text': '注射用水质量标准 ', 'type': 'text'}]	[{'text': 'SPC-RM-L027', 'type': 'text'}]	['纯化']
recvfwwgGxtaeX	[{'text': 'Kromasil 100-10-C8', 'type': 'text'}]	[{'text': 'S022', 'type': 'text'}]	[{'text': 'Nouryon puip and pergormance chemicals AB', 'type': 'text'}]	[{'text': 'N/A', 'type': 'text'}]	[{'text': 'Kromasil 100-10-C8质量标准', 'type': 'text'}]	[{'text': 'SPC-RM-S022', 'type': 'text'}]	['纯化']
